,PosC,Pos1B,Pos2B,Pos3B,PosSS,PosINF,PosOF,PosUT,PosP
"Justin Steele (CHC)",0,0,0,0,0,0,0,0,1
"Andres Gimenez (CLE)",0,0,1,0,0,1,0,1,0
"Clay Holmes (NYY)",0,0,0,0,0,0,0,0,1
"Nolan Arenado (STL)",0,0,0,1,0,1,0,1,0
"Tanner Bibee (CLE)",0,0,0,0,0,0,0,0,1
"Dylan Cease (CHW)",0,0,0,0,0,0,0,0,1
"Xander Bogaerts (SDP)",0,0,0,0,1,1,0,1,0
"Craig Kimbrel (BAL)",0,0,0,0,0,0,0,0,1
"Yainer Diaz (HOU)",1,0,0,0,0,1,0,1,0
"Bryson Stott (PHI)",0,0,1,0,0,1,0,1,0
"Triston Casas (BOS)",0,1,0,0,0,1,0,1,0
"Nick Castellanos (PHI)",0,0,0,0,0,0,1,1,0
"Seiya Suzuki (CHC)",0,0,0,0,0,0,1,1,0
"Sonny Gray (STL)",0,0,0,0,0,0,0,0,1
"Spencer Steer (CIN)",0,1,0,1,0,1,1,1,0
"Spencer Torkelson (DET)",0,1,0,0,0,1,0,1,0
"Adbert Alzolay (CHC)",0,0,0,0,0,0,0,0,1
"Ketel Marte (ARI)",0,0,1,0,0,1,0,1,0
"Dansby Swanson (CHC)",0,0,0,0,1,1,0,1,0
"Chris Sale (ATL)",0,0,0,0,0,0,0,0,1
"Lane Thomas (WSN)",0,0,0,0,0,0,1,1,0
"Teoscar Hernandez (LAD)",0,0,0,0,0,0,1,1,0
"George Springer (TOR)",0,0,0,0,0,0,1,1,0
"Josh Naylor (CLE)",0,1,0,0,0,1,0,1,0
"Jordan Walker (STL)",0,0,0,0,0,0,1,1,0
"Anthony Volpe (NYY)",0,0,0,0,1,1,0,1,0
"Kenley Jansen (BOS)",0,0,0,0,0,0,0,0,1
"Esteury Ruiz (OAK)",0,0,0,0,0,0,1,1,0
"Salvador Perez (KCR)",1,1,0,0,0,1,0,1,0
"Chris Bassitt (TOR)",0,0,0,0,0,0,0,0,1
"Evan Carter (TEX)",0,0,0,0,0,0,1,1,0
"Josh Jung (TEX)",0,0,0,1,0,1,0,1,0
"Thairo Estrada (SFG)",0,0,1,0,1,1,0,1,0
"Jackson Chourio (MIL)",0,0,0,0,0,0,1,1,0
"Willson Contreras (STL)",1,0,0,0,0,1,0,1,0
"Michael King (SDP)",0,0,0,0,0,0,0,0,1
"Yandy Diaz (TBR)",0,1,0,0,0,1,0,1,0
"Bailey Ober (MIN)",0,0,0,0,0,0,0,0,1
"Carlos Rodon (NYY)",0,0,0,0,0,0,0,0,1
"Zack Gelof (OAK)",0,0,1,0,0,1,0,1,0
"Hunter Greene (CIN)",0,0,0,0,0,0,0,0,1
"Cal Raleigh (SEA)",1,0,0,0,0,1,0,1,0
"Sean Murphy (ATL)",1,0,0,0,0,1,0,1,0
"Kodai Senga (NYM)",0,0,0,0,0,0,0,0,1
"Anthony Santander (BAL)",0,0,0,0,0,0,1,1,0
"Merrill Kelly (ARI)",0,0,0,0,0,0,0,0,1
"Justin Verlander (HOU)",0,0,0,0,0,0,0,0,1
"Cedric Mullins (BAL)",0,0,0,0,0,0,1,1,0
"Francisco Alvarez (NYM)",1,0,0,0,0,1,0,1,0
"Jake Burger (MIA)",0,0,0,1,0,1,0,1,0
"Jarren Duran (BOS)",0,0,0,0,0,0,1,1,0
"Shane Bieber (CLE)",0,0,0,0,0,0,0,0,1
"Logan O'Hoppe (LAA)",1,0,0,0,0,1,0,1,0
"Gabriel Moreno (ARI)",1,0,0,0,0,1,0,1,0
"Wyatt Langford (TEX)",0,0,0,0,0,0,1,1,0
"Jordan Montgomery ()",0,0,0,0,0,0,0,0,1
"TJ Friedl (CIN)",0,0,0,0,0,0,1,1,0
"Jose Alvarado (PHI)",0,0,0,0,0,0,0,0,1
"Ke'Bryan Hayes (PIT)",0,0,0,1,0,1,0,1,0
"Christian Encarnacion-Strand (CIN)",0,1,0,0,0,1,0,1,0
"Luis Arraez (MIA)",0,0,1,0,0,1,0,1,0
"Gavin Williams (CLE)",0,0,0,0,0,0,0,0,1
"Bo Naylor (CLE)",1,0,0,0,0,1,0,1,0
"Mitch Keller (PIT)",0,0,0,0,0,0,0,0,1
"Ian Happ (CHC)",0,0,0,0,0,0,1,1,0
"Marcell Ozuna (ATL)",0,0,0,0,0,0,0,1,0
"Jose Berrios (TOR)",0,0,0,0,0,0,0,0,1
"Nick Pivetta (BOS)",0,0,0,0,0,0,0,0,1
"Riley Greene (DET)",0,0,0,0,0,0,1,1,0
"Hunter Brown (HOU)",0,0,0,0,0,0,0,0,1
"Chas McCormick (HOU)",0,0,0,0,0,0,1,1,0
"Alec Bohm (PHI)",0,1,0,1,0,1,0,1,0
"Keibert Ruiz (WSN)",1,0,0,0,0,1,0,1,0
"Jorge Soler (SFG)",0,0,0,0,0,0,1,1,0
"Jonah Heim (TEX)",1,0,0,0,0,1,0,1,0
"Bryce Miller (SEA)",0,0,0,0,0,0,0,0,1
"Trevor Story (BOS)",0,0,0,0,1,1,0,1,0
"Bryan Woo (SEA)",0,0,0,0,0,0,0,0,1
"Alex Lange (DET)",0,0,0,0,0,0,0,0,1
"Mitch Garver (SEA)",1,0,0,0,0,1,0,1,0
"Cristian Javier (HOU)",0,0,0,0,0,0,0,0,1
"Willy Adames (MIL)",0,0,0,0,1,1,0,1,0
"Yu Darvish (SDP)",0,0,0,0,0,0,0,0,1
"Noelvi Marte (CIN)",0,0,0,1,0,1,0,1,0
"Tommy Edman (STL)",0,0,1,0,1,1,1,1,0
"Max Muncy (LAD)",0,0,0,1,0,1,0,1,0
"Vinnie Pasquantino (KCR)",0,1,0,0,0,1,0,1,0
"Shota Imanaga (CHC)",0,0,0,0,0,0,0,0,1
"Jose Leclerc (TEX)",0,0,0,0,0,0,0,0,1
"Isaac Paredes (TBR)",0,1,0,1,0,1,0,1,0
"Ryan Pepiot (TBR)",0,0,0,0,0,0,0,0,1
"Rhys Hoskins (MIL)",0,1,0,0,0,1,0,1,0
"Ezequiel Tovar (COL)",0,0,0,0,1,1,0,1,0
"Luis Campusano (SDP)",1,0,0,0,0,1,0,1,0
"Nolan Gorman (STL)",0,0,1,0,0,1,0,1,0
"Christopher Morel (CHC)",0,0,0,0,0,0,1,1,0
"Walker Buehler (LAD)",0,0,0,0,0,0,0,0,1
"Eduardo Rodriguez (ARI)",0,0,0,0,0,0,0,0,1
"Jackson Holliday (BAL)",0,0,0,0,1,1,0,1,0
"Masataka Yoshida (BOS)",0,0,0,0,0,0,1,1,0
"James Outman (LAD)",0,0,0,0,0,0,1,1,0
"Brandon Pfaadt (ARI)",0,0,0,0,0,0,0,0,1
"Brandon Nimmo (NYM)",0,0,0,0,0,0,1,1,0
"Aaron Civale (TBR)",0,0,0,0,0,0,0,0,1
"Nathan Eovaldi (TEX)",0,0,0,0,0,0,0,0,1
"Maikel Garcia (KCR)",0,0,0,1,0,1,0,1,0
"Braxton Garrett (MIA)",0,0,0,0,0,0,0,0,1
"Jeremy Pena (HOU)",0,0,0,0,1,1,0,1,0
"Robert Suarez (SDP)",0,0,0,0,0,0,0,0,1
"Steven Kwan (CLE)",0,0,0,0,0,0,1,1,0
"Jarred Kelenic (ATL)",0,0,0,0,0,0,1,1,0
"Mason Miller (OAK)",0,0,0,0,0,0,0,0,1
"Nathaniel Lowe (TEX)",0,1,0,0,0,1,0,1,0
"Daulton Varsho (TOR)",0,0,0,0,0,0,1,1,0
"Lars Nootbaar (STL)",0,0,0,0,0,0,1,1,0
"Jeimer Candelario (CIN)",0,1,0,1,0,1,0,1,0
"Tyler O'Neill (BOS)",0,0,0,0,0,0,1,1,0
"Brandon Drury (LAA)",0,1,1,0,0,1,0,1,0
"Edouard Julien (MIN)",0,0,1,0,0,1,0,1,0
"Starling Marte (NYM)",0,0,0,0,0,0,1,1,0
"Brayan Bello (BOS)",0,0,0,0,0,0,0,0,1
"Triston McKenzie (CLE)",0,0,0,0,0,0,0,0,1
"Cristopher Sanchez (PHI)",0,0,0,0,0,0,0,0,1
"Ryan McMahon (COL)",0,0,1,1,0,1,0,1,0
"Robert Stephenson (LAA)",0,0,0,0,0,0,0,0,1
"Yusei Kikuchi (TOR)",0,0,0,0,0,0,0,0,1
"Tyler Stephenson (CIN)",1,0,0,0,0,1,0,1,0
"Taylor Ward (LAA)",0,0,0,0,0,0,1,1,0
"Reid Detmers (LAA)",0,0,0,0,0,0,0,0,1
"Kerry Carpenter (DET)",0,0,0,0,0,0,1,1,0
"Charlie Morton (ATL)",0,0,0,0,0,0,0,0,1
"Carlos Estevez (LAA)",0,0,0,0,0,0,0,0,1
"Eloy Jimenez (CHW)",0,0,0,0,0,0,0,1,0
"Kyle Finnegan (WSN)",0,0,0,0,0,0,0,0,1
"Lourdes Gurriel Jr. (ARI)",0,0,0,0,0,0,1,1,0
"Luis Rengifo (LAA)",0,0,1,1,1,1,1,1,0
"Jack Suwinski (PIT)",0,0,0,0,0,0,1,1,0
"Andrew Vaughn (CHW)",0,1,0,0,0,1,0,1,0
"Taj Bradley (TBR)",0,0,0,0,0,0,0,0,1
"Nestor Cortes (NYY)",0,0,0,0,0,0,0,0,1
"Vaughn Grissom (BOS)",0,0,1,0,1,1,0,1,0
"Carlos Correa (MIN)",0,0,0,0,1,1,0,1,0
"Ryan Mountcastle (BAL)",0,1,0,0,0,1,0,1,0
"Shea Langeliers (OAK)",1,0,0,0,0,1,0,1,0
"Henry Davis (PIT)",0,0,0,0,0,0,1,1,0
"Kenta Maeda (DET)",0,0,0,0,0,0,0,0,1
"Byron Buxton (MIN)",0,0,0,0,0,0,0,1,0
"Jung Hoo Lee (SFG)",0,0,0,0,0,0,1,1,0
"Jorge Polanco (SEA)",0,0,1,0,0,1,0,1,0
"Justin Turner (TOR)",0,1,0,0,0,1,0,1,0
"Shane Baz (TBR)",0,0,0,0,0,0,0,0,1
"Nick Lodolo (CIN)",0,0,0,0,0,0,0,0,1
"Kutter Crawford (BOS)",0,0,0,0,0,0,0,0,1
"Ryan Jeffers (MIN)",1,0,0,0,0,1,0,1,0
"Junior Caminero ()",0,0,1,1,1,1,0,1,0
"Elias Diaz (COL)",1,0,0,0,0,1,0,1,0
"J.D. Martinez ()",0,0,0,0,0,0,0,1,0
"Seth Lugo (KCR)",0,0,0,0,0,0,0,0,1
"Kyle Harrison (SFG)",0,0,0,0,0,0,0,0,1
"Danny Jansen (TOR)",1,0,0,0,0,1,0,1,0
"Griffin Canning (LAA)",0,0,0,0,0,0,0,0,1
"Gavin Lux (LAD)",0,0,1,0,0,1,0,1,0
"Hunter Harvey (WSN)",0,0,0,0,0,0,0,0,1
"Marcus Stroman (NYY)",0,0,0,0,0,0,0,0,1
"Alejandro Kirk (TOR)",1,0,0,0,0,1,0,1,0
"Brandon Lowe (TBR)",0,0,1,0,0,1,0,1,0
"J.P. Crawford (SEA)",0,0,0,0,1,1,0,1,0
"Emmet Sheehan (LAD)",0,0,0,0,0,0,0,0,1
"Leody Taveras (TEX)",0,0,0,0,0,0,1,1,0
"Yuki Matsui (SDP)",0,0,0,0,0,0,0,0,1
"Whit Merrifield (PHI)",0,0,1,0,0,1,1,1,0
"Anthony Rizzo (NYY)",0,1,0,0,0,1,0,1,0
"Kris Bryant (COL)",0,0,0,0,0,0,1,1,0
"Eugenio Suarez (ARI)",0,0,0,1,0,1,0,1,0
"Matt Chapman (SFG)",0,0,0,1,0,1,0,1,0
"Andrew Abbott (CIN)",0,0,0,0,0,0,0,0,1
"Bryan De La Cruz (MIA)",0,0,0,0,0,0,1,1,0
"MacKenzie Gore (WSN)",0,0,0,0,0,0,0,0,1
"Jonathan India (CIN)",0,0,1,0,0,1,0,1,0
"Sal Frelick (MIL)",0,0,0,0,0,0,1,1,0
"Zach Neto (LAA)",0,0,0,0,1,1,0,1,0
"Parker Meadows (DET)",0,0,0,0,0,0,1,1,0
"Max Kepler (MIN)",0,0,0,0,0,0,1,1,0
"Luis Severino (NYM)",0,0,0,0,0,0,0,0,1
"Will Smith (KCR)",0,0,0,0,0,0,0,0,1
"Josh Bell (MIA)",0,1,0,0,0,1,0,1,0
"Nelson Velazquez (KCR)",0,0,0,0,0,0,1,1,0
"Jose Siri (TBR)",0,0,0,0,0,0,1,1,0
"Colt Keith (DET)",0,0,1,1,0,1,0,1,0
"Edward Cabrera (MIA)",0,0,0,0,0,0,0,0,1
"Michael Wacha (KCR)",0,0,0,0,0,0,0,0,1
"Jose Abreu (HOU)",0,1,0,0,0,1,0,1,0
"Willi Castro (MIN)",0,0,0,1,0,1,1,1,0
"Giancarlo Stanton (NYY)",0,0,0,0,0,0,1,1,0
"Chris Paddack (MIN)",0,0,0,0,0,0,0,0,1
"Brendan Donovan (STL)",0,0,1,0,0,1,1,1,0
"MJ Melendez (KCR)",0,0,0,0,0,0,1,1,0
"Austin Wells (NYY)",1,0,0,0,0,1,0,1,0
"Reese Olson (DET)",0,0,0,0,0,0,0,0,1
"Lance Lynn (STL)",0,0,0,0,0,0,0,0,1
"Ryan Pressly (HOU)",0,0,0,0,0,0,0,0,1
"Paul Skenes (PIT)",0,0,0,0,0,0,0,0,1
"Brent Rooker (OAK)",0,0,0,0,0,0,1,1,0
"Will Benson (CIN)",0,0,0,0,0,0,1,1,0
"Max Scherzer (TEX)",0,0,0,0,0,0,0,0,1
"Jeff McNeil (NYM)",0,0,1,0,0,1,1,1,0
"Louie Varland (MIN)",0,0,0,0,0,0,0,0,1
"Alex Verdugo (NYY)",0,0,0,0,0,0,1,1,0
"James Paxton (LAD)",0,0,0,0,0,0,0,0,1
"Ty France (SEA)",0,1,0,0,0,1,0,1,0
"Jon Gray (TEX)",0,0,0,0,0,0,0,0,1
"Jordan Westburg (BAL)",0,0,1,1,0,1,0,1,0
"Jason Adam (TBR)",0,0,0,0,0,0,0,0,1
"Austin Hays (BAL)",0,0,0,0,0,0,1,1,0
"Sean Manaea (NYM)",0,0,0,0,0,0,0,0,1
"Matt Wallner (MIN)",0,0,0,0,0,0,1,1,0
"Dean Kremer (BAL)",0,0,0,0,0,0,0,0,1
"Tim Anderson (MIA)",0,0,0,0,1,1,0,1,0
"Tyler Wells (BAL)",0,0,0,0,0,0,0,0,1
"Kyle Bradish (BAL)",0,0,0,0,0,0,0,0,1
"Jordan Hicks (SFG)",0,0,0,0,0,0,0,0,1
"DL Hall (MIL)",0,0,0,0,0,0,0,0,1
"Jameson Taillon (CHC)",0,0,0,0,0,0,0,0,1
"David Robertson (TEX)",0,0,0,0,0,0,0,0,1
"Jake Rogers (DET)",1,0,0,0,0,1,0,1,0
"Frankie Montas (CIN)",0,0,0,0,0,0,0,0,1
"Orlando Arcia (ATL)",0,0,0,0,1,1,0,1,0
"Luke Raley (SEA)",0,1,0,0,0,1,1,1,0
"Brice Turang (MIL)",0,0,1,0,1,1,0,1,0
"Yennier Cano (BAL)",0,0,0,0,0,0,0,0,1
"Brendan Rodgers (COL)",0,0,1,0,0,1,0,1,0
"Trevor Rogers (MIA)",0,0,0,0,0,0,0,0,1
"Connor Wong (BOS)",1,0,0,0,0,1,0,1,0
"Jake Fraley (CIN)",0,0,0,0,0,0,1,1,0
"Ezequiel Duran (TEX)",0,0,0,1,1,1,1,1,0
"Matt Brash (SEA)",0,0,0,0,0,0,0,0,1
"DJ LeMahieu (NYY)",0,1,0,1,0,1,0,1,0
"Amed Rosario (TBR)",0,0,1,0,1,1,0,1,0
"Logan Allen (CLE)",0,0,0,0,0,0,0,0,1
"Alex Kirilloff (MIN)",0,1,0,0,0,1,1,1,0
"Chase Silseth (LAA)",0,0,0,0,0,0,0,0,1
"Ranger Suarez (PHI)",0,0,0,0,0,0,0,0,1
"Jordan Lawlar ()",0,0,0,0,1,1,0,1,0
"Tommy Pham ()",0,0,0,0,0,0,1,1,0
"Clarke Schmidt (NYY)",0,0,0,0,0,0,0,0,1
"James McArthur (KCR)",0,0,0,0,0,0,0,0,1
"Jake Cronenworth (SDP)",0,1,1,0,0,1,0,1,0
"Erick Fedde (CHW)",0,0,0,0,0,0,0,0,1
"John Means (BAL)",0,0,0,0,0,0,0,0,1
"A.J. Puk (MIA)",0,0,0,0,0,0,0,0,1
"Alek Thomas (ARI)",0,0,0,0,0,0,1,1,0
"Michael Busch (CHC)",0,1,1,1,0,1,1,1,0
"Zack Littell (TBR)",0,0,0,0,0,0,0,0,1
"Rene Pinto (TBR)",1,0,0,0,0,1,0,1,0
"Jack Flaherty (DET)",0,0,0,0,0,0,0,0,1
"Patrick Bailey (SFG)",1,0,0,0,0,1,0,1,0
"Harrison Bader (NYM)",0,0,0,0,0,0,1,1,0
"Yan Gomes (CHC)",1,0,0,0,0,1,0,1,0
"Masyn Winn (STL)",0,0,0,0,1,1,0,1,0
"Ceddanne Rafaela (BOS)",0,0,0,0,0,0,1,1,0
"Alek Manoah (TOR)",0,0,0,0,0,0,0,0,1
"Joey Meneses (WSN)",0,0,0,0,0,0,0,1,0
"Johan Rojas (PHI)",0,0,0,0,0,0,1,1,0
"Andrew Benintendi (CHW)",0,0,0,0,0,0,1,1,0
"Bryan Abreu (HOU)",0,0,0,0,0,0,0,0,1
"Dane Dunning (TEX)",0,0,0,0,0,0,0,0,1
"Wilmer Flores (SFG)",0,1,0,1,0,1,0,1,0
"Steven Matz (STL)",0,0,0,0,0,0,0,0,1
"Yoan Moncada (CHW)",0,0,0,1,0,1,0,1,0
"Aroldis Chapman (PIT)",0,0,0,0,0,0,0,0,1
"Brett Baty (NYM)",0,0,0,1,0,1,0,1,0
"Andrew Heaney (TEX)",0,0,0,0,0,0,0,0,1
"Gary Sanchez (MIL)",1,0,0,0,0,1,0,1,0
"Hunter Renfroe (KCR)",0,0,0,0,0,0,1,1,0
"Garrett Whitlock (BOS)",0,0,0,0,0,0,0,0,1
"Kyle Manzardo (CLE)",0,1,0,0,0,1,0,1,0
"Justin Lawrence (COL)",0,0,0,0,0,0,0,0,1
"Jose Caballero (TBR)",0,0,1,0,1,1,0,1,0
"Brenton Doyle (COL)",0,0,0,0,0,0,1,1,0
"Brandon Marsh (PHI)",0,0,0,0,0,0,1,1,0
"Wilyer Abreu (BOS)",0,0,0,0,0,0,1,1,0
"Orion Kerkering (PHI)",0,0,0,0,0,0,0,0,1
"Javier Baez (DET)",0,0,0,0,1,1,0,1,0
"Chris Taylor (LAD)",0,0,0,1,1,1,1,1,0
"JP Sears (OAK)",0,0,0,0,0,0,0,0,1
"Josiah Gray (WSN)",0,0,0,0,0,0,0,0,1
"LaMonte Wade Jr. (SFG)",0,1,0,0,0,1,1,1,0
"Garrett Mitchell (MIL)",0,0,0,0,0,0,1,1,0
"Mitch Haniger (SEA)",0,0,0,0,0,0,1,1,0
"Travis d'Arnaud (ATL)",1,0,0,0,0,1,0,1,0
"Pete Crow-Armstrong ()",0,0,0,0,0,0,1,1,0
"Nolan Schanuel (LAA)",0,1,0,0,0,1,0,1,0
"Michael Massey (KCR)",0,0,1,0,0,1,0,1,0
"Graham Ashcraft (CIN)",0,0,0,0,0,0,0,0,1
"Liover Peguero (PIT)",0,0,1,0,1,1,0,1,0
"Luis Garcia Jr. (WSN)",0,0,1,0,0,1,0,1,0
"Jesus Sanchez (MIA)",0,0,0,0,0,0,1,1,0
"AJ Smith-Shawver ()",0,0,0,0,0,0,0,0,1
"Tanner Houck (BOS)",0,0,0,0,0,0,0,0,1
"Joe Boyle (OAK)",0,0,0,0,0,0,0,0,1
"Ryan O'Hearn (BAL)",0,1,0,0,0,1,1,1,0
"Jose Quintana (NYM)",0,0,0,0,0,0,0,0,1
"Aaron Ashby (MIL)",0,0,0,0,0,0,0,0,1
"Max Meyer ()",0,0,0,0,0,0,0,0,1
"Brusdar Graterol (LAD)",0,0,0,0,0,0,0,0,1
"Mickey Moniak (LAA)",0,0,0,0,0,0,1,1,0
"Freddy Fermin (KCR)",1,0,0,0,0,1,0,1,0
"Hector Neris (CHC)",0,0,0,0,0,0,0,0,1
"Jasson Dominguez (NYY)",0,0,0,0,0,0,1,1,0
"Joc Pederson (ARI)",0,0,0,0,0,0,1,1,0
"Miles Mikolas (STL)",0,0,0,0,0,0,0,0,1
"John Brebbia (CHW)",0,0,0,0,0,0,0,0,1
"Carlos Santana (MIN)",0,1,0,0,0,1,0,1,0
"Jacob deGrom (TEX)",0,0,0,0,0,0,0,0,1
"Reynaldo Lopez (ATL)",0,0,0,0,0,0,0,0,1
"Mark Canha (DET)",0,0,0,0,0,0,1,1,0
"Taijuan Walker (PHI)",0,0,0,0,0,0,0,0,1
"Ryan Noda (OAK)",0,1,0,0,0,1,0,1,0
"Michael Conforto (SFG)",0,0,0,0,0,0,1,1,0
"Elehuris Montero (COL)",0,1,0,0,0,1,0,1,0
"Davis Schneider (TOR)",0,0,1,0,0,1,0,1,0
"Anthony Rendon (LAA)",0,0,0,1,0,1,0,1,0
"Geraldo Perdomo (ARI)",0,0,1,0,1,1,0,1,0
"Bryce Elder (ATL)",0,0,0,0,0,0,0,0,1
"Matt Manning (DET)",0,0,0,0,0,0,0,0,1
"Ivan Herrera (STL)",1,0,0,0,0,1,0,1,0
"Nick Senzel (WSN)",0,0,0,1,0,1,1,1,0
"Charlie Blackmon (COL)",0,0,0,0,0,0,1,1,0
"Patrick Sandoval (LAA)",0,0,0,0,0,0,0,0,1
"Kyle Gibson (STL)",0,0,0,0,0,0,0,0,1
"Rowdy Tellez (PIT)",0,1,0,0,0,1,0,1,0
"Zach McKinstry (DET)",0,0,1,1,1,1,1,1,0
